City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,port alfred,-33.5906,26.891,25.660000000000025,85,5,0.89,ZA,1674493420
66,khadyzhensk,44.4256,39.5319,3.6100000000000136,83,0,0.42,RU,1674493421
67,new norfolk,-42.7826,147.0587,15.510000000000048,90,44,1.16,AU,1674493422
68,zhigansk,66.7697,123.3711,-45.42999999999998,100,74,0.85,RU,1674493423
69,chervona sloboda,49.3789,32.1464,-0.9499999999999886,82,40,3.34,UA,1674493423
70,antalaha,-14.9003,50.2788,25.439999999999998,85,100,1.71,MG,1674493424
71,provideniya,64.3833,-173.3,-19.079999999999984,77,5,7.08,RU,1674493425
72,santiago del estero,-27.7951,-64.2615,37.879999999999995,20,0,5.84,AR,1674493425
73,gualeguay,-33.1416,-59.3097,34.960000000000036,19,0,2.09,AR,1674493426
74,cabo san lucas,22.8909,-109.9124,20.840000000000032,56,20,2.57,MX,1674493426
75,namatanai,-3.6667,152.4333,26.189999999999998,83,86,3.96,PG,1674493427
76,carballo,43.213,-8.691,9.680000000000007,67,11,4.77,ES,1674493427
77,cambridge,43.3601,-80.3127,0.6899999999999977,88,97,4.08,CA,1674493428
78,tuktoyaktuk,69.4541,-133.0374,-20.99999999999997,84,100,6.17,CA,1674493428
79,lai,9.3952,16.2989,30.260000000000048,15,100,2.12,TD,1674493428
80,la rioja,42.25,-2.5,-0.12000000000000455,97,100,4.84,ES,1674493429
81,udachnyy,66.4167,112.4,-33.579999999999984,90,100,1.35,RU,1674493429
82,mount isa,-20.7333,139.5,21.870000000000005,53,2,1.54,AU,1674493430
83,prince rupert,54.3161,-130.3201,4.350000000000023,97,100,4.98,CA,1674493431
84,meadow lake,34.8014,-106.5436,3.8100000000000023,38,100,11.01,US,1674493431
85,banjar,-8.19,114.9675,25.83000000000004,90,78,0.77,ID,1674493408
86,shumikha,55.2261,63.2961,-17.159999999999968,100,72,2.69,RU,1674493434
87,leningradskiy,69.3833,178.4167,-33.16999999999999,91,18,3.86,RU,1674493434
88,mataura,-46.1927,168.8643,4.930000000000007,96,55,0.75,NZ,1674493435
89,puri,19.8,85.85,22.29000000000002,76,30,3.82,IN,1674493436
90,vardo,70.3705,31.1107,-1.009999999999991,80,40,9.77,NO,1674493437
91,nagato,34.3833,131.2,7.8700000000000045,63,100,6.11,JP,1674493390
92,kuito,-12.3833,16.9333,16.340000000000032,85,100,3.61,AO,1674493438
93,grand gaube,-20.0064,57.6608,23.54000000000002,81,100,0.89,MU,1674493438
94,pacific grove,36.6177,-121.9166,11.480000000000018,51,0,2.57,US,1674493439
95,hithadhoo,-0.6,73.0833,26.689999999999998,76,57,3.45,MV,1674493440
96,luderitz,-26.6481,15.1594,19.52000000000004,74,6,8.16,NA,1674493218
97,souillac,-20.5167,57.5167,22.400000000000034,86,100,3.57,MU,1674493376
98,ribeira grande,38.5167,-28.7,18.220000000000027,68,20,11.62,PT,1674493441
99,airai,-8.9266,125.4092,15.990000000000009,93,100,0.96,TL,1674493442
100,merauke,-8.4667,140.3333,25.090000000000032,90,85,3.09,ID,1674493442
101,avarua,-21.2078,-159.775,21.03000000000003,100,87,0.51,CK,1674493443
102,port elizabeth,-33.918,25.5701,27.400000000000034,69,20,1.79,ZA,1674493389
103,fortuna,40.5982,-124.1573,4.189999999999998,96,0,1.54,US,1674493283
104,poronaysk,49.2167,143.1167,-24.98999999999998,95,84,2.76,RU,1674493444
105,hambantota,6.1241,81.1185,25.140000000000043,84,100,6.15,LK,1674493445
106,kyrylivka,46.3759,35.3675,2.8000000000000114,81,57,7.53,UA,1674493164
107,hobart,-42.8794,147.3294,15.700000000000045,93,32,0.51,AU,1674493330
108,faanui,-16.4833,-151.75,25.879999999999995,74,98,6.52,PF,1674493446
109,sorland,67.667,12.6934,3.920000000000016,75,86,13.4,NO,1674493447
110,ramon,16.7842,121.535,21.350000000000023,90,99,1.07,PH,1674493448
111,victoria,22.2855,114.1577,19.58000000000004,82,100,10.28,HK,1674493417
112,korla,41.7597,86.1469,-13.629999999999995,81,11,1.47,CN,1674493448
113,carora,10.1755,-70.0827,33.26000000000005,32,46,8.02,VE,1674493449
114,carman,49.4992,-98.0016,-3.9599999999999795,95,92,4.02,CA,1674493450
115,saint-joseph,-21.3667,55.6167,23.210000000000036,87,100,3.14,RE,1674493450
116,saint-leu,-21.15,55.2833,23.480000000000018,92,100,0.18,RE,1674493204
117,nome,64.5011,-165.4064,-18.95999999999998,65,0,2.06,US,1674493452
118,kaitangata,-46.2817,169.8464,6.930000000000007,89,30,2.08,NZ,1674493452
